,Method,Metric,Train,Test,Threshold,Rep
0,crps,sse,191.23,339.21,0.0,0
1,crps,crps,192.02,270.19,0.0,0
2,crps,dss,-622.51,-533.29,0.0,0
3,crps,is1,2451.72,3275.8,0.0,0
4,dss,sse,192.28,335.15,0.0,0
5,dss,crps,192.31,269.25,0.0,0
6,dss,dss,-634.04,-555.44,0.0,0
7,dss,is1,2451.73,3278.61,0.0,0
8,is1,sse,186.9,353.8,0.0,0
9,is1,crps,191.01,275.5,0.0,0
10,is1,dss,-553.37,-343.38,0.0,0
11,is1,is1,2443.65,3283.72,0.0,0
12,sse,sse,184.06,346.25,0.0,0
13,sse,crps,189.77,271.61,0.0,0
14,sse,dss,-601.91,-429.82,0.0,0
15,sse,is1,2447.17,3276.19,0.0,0
16,crps,sse,212.8,367.01,0.1,0
17,crps,crps,201.37,277.64,0.1,0
18,crps,dss,-488.86,-310.9,0.1,0
19,crps,is1,2492.69,3308.55,0.1,0
20,dss,sse,193.75,341.99,0.1,0
21,dss,crps,193.79,268.79,0.1,0
22,dss,dss,-592.83,-441.28,0.1,0
23,dss,is1,2454.79,3276.83,0.1,0
24,is1,sse,219.07,400.99,0.1,0
25,is1,crps,204.56,289.47,0.1,0
26,is1,dss,-401.65,-162.35,0.1,0
27,is1,is1,2460.61,3291.57,0.1,0
28,sse,sse,209.31,377.86,0.1,0
29,sse,crps,200.29,281.94,0.1,0
30,sse,dss,-492.56,-297.68,0.1,0
31,sse,is1,2494.89,3347.49,0.1,0
32,crps,sse,714.79,979.17,0.3,0
33,crps,crps,391.97,508.56,0.3,0
34,crps,dss,338.77,478.2,0.3,0
35,crps,is1,2949.83,3814.54,0.3,0
36,dss,sse,714.79,979.17,0.3,0
37,dss,crps,391.97,508.56,0.3,0
38,dss,dss,338.77,478.2,0.3,0
39,dss,is1,2949.83,3814.54,0.3,0
40,is1,sse,219.07,400.99,0.3,0
41,is1,crps,204.56,289.47,0.3,0
42,is1,dss,-401.65,-162.35,0.3,0
43,is1,is1,2460.61,3291.57,0.3,0
44,sse,sse,714.79,979.17,0.3,0
45,sse,crps,391.97,508.56,0.3,0
46,sse,dss,338.77,478.2,0.3,0
47,sse,is1,2949.83,3814.54,0.3,0
48,crps,sse,714.79,979.17,0.5,0
49,crps,crps,391.97,508.56,0.5,0
50,crps,dss,338.77,478.2,0.5,0
51,crps,is1,2949.83,3814.54,0.5,0
52,dss,sse,714.79,979.17,0.5,0
53,dss,crps,391.97,508.56,0.5,0
54,dss,dss,338.77,478.2,0.5,0
55,dss,is1,2949.83,3814.54,0.5,0
56,is1,sse,714.79,979.17,0.5,0
57,is1,crps,391.97,508.56,0.5,0
58,is1,dss,338.77,478.2,0.5,0
59,is1,is1,2949.83,3814.54,0.5,0
60,sse,sse,714.79,979.17,0.5,0
61,sse,crps,391.97,508.56,0.5,0
62,sse,dss,338.77,478.2,0.5,0
63,sse,is1,2949.83,3814.54,0.5,0
64,crps,sse,714.79,979.17,0.8,0
