,Method,Metric,Train,Test,Threshold,n,r
0,crps,sse,44.85,506.94,0.0,200,13
1,crps,crps,41.3,624.82,0.0,200,13
2,crps,dss,-161.72,-2805.05,0.0,200,13
3,crps,is1,179.16,2434.91,0.0,200,13
4,dss,sse,45.52,498.97,0.0,200,13
5,dss,crps,42.64,623.97,0.0,200,13
6,dss,dss,-170.17,-2878.11,0.0,200,13
7,dss,is1,183.52,2509.47,0.0,200,13
8,is1,sse,44.97,494.86,0.0,200,13
9,is1,crps,41.55,617.53,0.0,200,13
10,is1,dss,-166.83,-2909.84,0.0,200,13
11,is1,is1,176.17,2467.43,0.0,200,13
12,sse,sse,44.85,493.66,0.0,200,13
13,sse,crps,41.99,619.28,0.0,200,13
14,sse,dss,-163.09,-2971.47,0.0,200,13
15,sse,is1,180.79,2425.84,0.0,200,13
16,crps,sse,44.85,506.94,0.1,200,13
17,crps,crps,41.3,624.82,0.1,200,13
18,crps,dss,-161.72,-2805.05,0.1,200,13
19,crps,is1,179.16,2434.91,0.1,200,13
20,dss,sse,45.79,497.23,0.1,200,13
21,dss,crps,43.48,624.86,0.1,200,13
22,dss,dss,-167.47,-2895.52,0.1,200,13
23,dss,is1,187.93,2504.44,0.1,200,13
24,is1,sse,44.97,494.86,0.1,200,13
25,is1,crps,41.55,617.53,0.1,200,13
26,is1,dss,-166.83,-2909.84,0.1,200,13
27,is1,is1,176.17,2467.43,0.1,200,13
28,sse,sse,44.85,493.66,0.1,200,13
29,sse,crps,41.99,619.28,0.1,200,13
30,sse,dss,-163.09,-2971.47,0.1,200,13
31,sse,is1,180.79,2425.84,0.1,200,13
32,crps,sse,44.85,506.94,0.3,200,13
33,crps,crps,41.3,624.82,0.3,200,13
34,crps,dss,-161.72,-2805.05,0.3,200,13
35,crps,is1,179.16,2434.91,0.3,200,13
36,dss,sse,46.57,481.36,0.3,200,13
37,dss,crps,44.74,632.61,0.3,200,13
38,dss,dss,-147.11,-2827.22,0.3,200,13
39,dss,is1,188.63,2526.58,0.3,200,13
40,is1,sse,44.97,494.86,0.3,200,13
41,is1,crps,41.55,617.53,0.3,200,13
42,is1,dss,-166.83,-2909.84,0.3,200,13
43,is1,is1,176.17,2467.43,0.3,200,13
44,sse,sse,45.35,498.0,0.3,200,13
45,sse,crps,43.37,630.71,0.3,200,13
46,sse,dss,-155.12,-2729.58,0.3,200,13
47,sse,is1,185.58,2517.92,0.3,200,13
48,crps,sse,44.85,506.94,0.5,200,13
49,crps,crps,41.3,624.82,0.5,200,13
50,crps,dss,-161.72,-2805.05,0.5,200,13
51,crps,is1,179.16,2434.91,0.5,200,13
52,dss,sse,46.57,481.36,0.5,200,13
53,dss,crps,44.74,632.61,0.5,200,13
54,dss,dss,-147.11,-2827.22,0.5,200,13
55,dss,is1,188.63,2526.58,0.5,200,13
56,is1,sse,45.1,490.15,0.5,200,13
57,is1,crps,41.74,614.82,0.5,200,13
58,is1,dss,-165.54,-2956.95,0.5,200,13
59,is1,is1,176.83,2452.96,0.5,200,13
60,sse,sse,45.35,498.0,0.5,200,13
61,sse,crps,43.37,630.71,0.5,200,13
62,sse,dss,-155.12,-2729.58,0.5,200,13
63,sse,is1,185.58,2517.92,0.5,200,13
64,crps,sse,44.96,505.3,0.8,200,13
65,crps,crps,41.41,623.03,0.8,200,13
66,crps,dss,-159.55,-2873.35,0.8,200,13
67,crps,is1,180.11,2420.25,0.8,200,13
68,dss,sse,46.57,481.36,0.8,200,13
69,dss,crps,44.74,632.61,0.8,200,13
70,dss,dss,-147.11,-2827.22,0.8,200,13
71,dss,is1,188.63,2526.58,0.8,200,13
72,is1,sse,46.43,473.34,0.8,200,13
73,is1,crps,43.8,611.97,0.8,200,13
74,is1,dss,-146.14,-3080.39,0.8,200,13
75,is1,is1,184.84,2427.11,0.8,200,13
76,sse,sse,46.57,481.36,0.8,200,13
77,sse,crps,44.74,632.61,0.8,200,13
78,sse,dss,-147.11,-2827.22,0.8,200,13
79,sse,is1,188.63,2526.58,0.8,200,13
