,Train(%),Test(%),Method,Threshold,n
0,26.666666666666668,43.333333333333336,crps,0.0,200
1,26.666666666666668,40.0,dss,0.0,200
2,23.333333333333332,46.666666666666664,is1,0.0,200
3,26.666666666666668,40.0,crps,0.1,200
4,30.0,36.666666666666664,dss,0.1,200
5,23.333333333333332,33.33333333333333,is1,0.1,200
6,23.333333333333332,43.333333333333336,crps,0.3,200
7,43.333333333333336,26.666666666666668,dss,0.3,200
8,20.0,33.33333333333333,is1,0.3,200
9,20.0,33.33333333333333,crps,0.5,200
10,53.333333333333336,23.333333333333332,dss,0.5,200
11,20.0,20.0,is1,0.5,200
12,10.0,26.666666666666668,crps,0.8,200
13,50.0,16.666666666666664,dss,0.8,200
14,23.333333333333332,10.0,is1,0.8,200
15,40.0,20.0,crps,0.0,400
16,23.333333333333332,36.666666666666664,dss,0.0,400
17,20.0,36.666666666666664,is1,0.0,400
18,30.0,13.333333333333334,crps,0.1,400
19,30.0,20.0,dss,0.1,400
20,23.333333333333332,26.666666666666668,is1,0.1,400
21,16.666666666666664,10.0,crps,0.3,400
22,60.0,26.666666666666668,dss,0.3,400
23,13.333333333333334,20.0,is1,0.3,400
24,13.333333333333334,6.666666666666667,crps,0.5,400
25,60.0,23.333333333333332,dss,0.5,400
26,16.666666666666664,10.0,is1,0.5,400
27,13.333333333333334,0.0,crps,0.8,400
28,56.666666666666664,23.333333333333332,dss,0.8,400
29,16.666666666666664,3.3333333333333335,is1,0.8,400
30,16.666666666666664,20.0,crps,0.0,800
31,20.0,30.0,dss,0.0,800
32,3.3333333333333335,30.0,is1,0.0,800
33,10.0,13.333333333333334,crps,0.1,800
34,40.0,16.666666666666664,dss,0.1,800
35,0.0,36.666666666666664,is1,0.1,800
36,16.666666666666664,6.666666666666667,crps,0.3,800
37,46.666666666666664,36.666666666666664,dss,0.3,800
38,16.666666666666664,13.333333333333334,is1,0.3,800
39,10.0,0.0,crps,0.5,800
40,36.666666666666664,30.0,dss,0.5,800
41,6.666666666666667,6.666666666666667,is1,0.5,800
42,6.666666666666667,0.0,crps,0.8,800
43,23.333333333333332,23.333333333333332,dss,0.8,800
44,6.666666666666667,0.0,is1,0.8,800
45,23.333333333333332,10.0,crps,0.0,1600
46,10.0,23.333333333333332,dss,0.0,1600
47,20.0,20.0,is1,0.0,1600
48,16.666666666666664,16.666666666666664,crps,0.1,1600
49,30.0,16.666666666666664,dss,0.1,1600
50,20.0,16.666666666666664,is1,0.1,1600
51,16.666666666666664,0.0,crps,0.3,1600
52,50.0,46.666666666666664,dss,0.3,1600
53,20.0,6.666666666666667,is1,0.3,1600
54,6.666666666666667,0.0,crps,0.5,1600
55,23.333333333333332,20.0,dss,0.5,1600
56,10.0,0.0,is1,0.5,1600
57,0.0,0.0,crps,0.8,1600
58,13.333333333333334,13.333333333333334,dss,0.8,1600
59,0.0,0.0,is1,0.8,1600
