
airfoil completed in 9.58 sec.
crps-built tree, in-sample mean: 2428.26
dss-built tree, in-sample mean: 2443.28
is1-built tree, in-sample mean: 2300.75
sse-built tree, in-sample mean: 2443.28
crps-built tree, out-sample mean: 2488.03
dss-built tree, out-sample mean: 2557.77
is1-built tree, out-sample mean: 2389.59
sse-built tree, out-sample mean: 2557.77
crps-built tree, in-sample mean: 3328.66
dss-built tree, in-sample mean: 3326.52
is1-built tree, in-sample mean: 3294.33
sse-built tree, in-sample mean: 3326.52
crps-built tree, out-sample mean: 3373.33
dss-built tree, out-sample mean: 3415.96
is1-built tree, out-sample mean: 3369.94
sse-built tree, out-sample mean: 3415.96
crps-built tree, in-sample mean: 99978.97
dss-built tree, in-sample mean: 100096.25
is1-built tree, in-sample mean: 99052.79
sse-built tree, in-sample mean: 100096.25
crps-built tree, out-sample mean: 99807.91
dss-built tree, out-sample mean: 100005.96
is1-built tree, out-sample mean: 99129.96
sse-built tree, out-sample mean: 100005.96
crps-built tree, in-sample mean: 26700.82
dss-built tree, in-sample mean: 26670.02
is1-built tree, in-sample mean: 22861.46
sse-built tree, in-sample mean: 26670.02
crps-built tree, out-sample mean: 27167.99
dss-built tree, out-sample mean: 27988.98
is1-built tree, out-sample mean: 25076.83
sse-built tree, out-sample mean: 27988.98
airfoil completed in 8.58 sec.
crps-built tree, in-sample mean: 2465.72
dss-built tree, in-sample mean: 2482.37
is1-built tree, in-sample mean: 2276.3
sse-built tree, in-sample mean: 2228.44
crps-built tree, out-sample mean: 2557.12
dss-built tree, out-sample mean: 2588.52
is1-built tree, out-sample mean: 2418.88
sse-built tree, out-sample mean: 2357.43
crps-built tree, in-sample mean: 3342.3
dss-built tree, in-sample mean: 3341.69
is1-built tree, in-sample mean: 3275.51
sse-built tree, in-sample mean: 3213.41
crps-built tree, out-sample mean: 3396.14
dss-built tree, out-sample mean: 3407.24
is1-built tree, out-sample mean: 3395.63
sse-built tree, out-sample mean: 3302.14
crps-built tree, in-sample mean: 99923.47
dss-built tree, in-sample mean: 99975.77
is1-built tree, in-sample mean: 98820.37
sse-built tree, in-sample mean: 98978.73
crps-built tree, out-sample mean: 100273.92
dss-built tree, out-sample mean: 100395.77
is1-built tree, out-sample mean: 99370.71
sse-built tree, out-sample mean: 99599.97
crps-built tree, in-sample mean: 27048.17
dss-built tree, in-sample mean: 27038.59
is1-built tree, in-sample mean: 22426.86
sse-built tree, in-sample mean: 21152.08
crps-built tree, out-sample mean: 29177.2
dss-built tree, out-sample mean: 29375.58
is1-built tree, out-sample mean: 25634.76
sse-built tree, out-sample mean: 23870.79
airfoil completed in 8.72 sec.
crps-built tree, in-sample mean: 2508.66
dss-built tree, in-sample mean: 2398.35
is1-built tree, in-sample mean: 2334.07
sse-built tree, in-sample mean: 2508.66
crps-built tree, out-sample mean: 2493.67
dss-built tree, out-sample mean: 2438.03
is1-built tree, out-sample mean: 2433.14
sse-built tree, out-sample mean: 2493.67
crps-built tree, in-sample mean: 3359.39
dss-built tree, in-sample mean: 3294.97
is1-built tree, in-sample mean: 3327.4
sse-built tree, in-sample mean: 3359.39
crps-built tree, out-sample mean: 3377.13
dss-built tree, out-sample mean: 3364.35
is1-built tree, out-sample mean: 3372.8
sse-built tree, out-sample mean: 3377.13
crps-built tree, in-sample mean: 99941.12
dss-built tree, in-sample mean: 99195.83
is1-built tree, in-sample mean: 99046.55
sse-built tree, in-sample mean: 99941.12
crps-built tree, out-sample mean: 100217.5
dss-built tree, out-sample mean: 99683.41
is1-built tree, out-sample mean: 99780.68
sse-built tree, out-sample mean: 100217.5
crps-built tree, in-sample mean: 28289.45
dss-built tree, in-sample mean: 25442.48
is1-built tree, in-sample mean: 24506.75
sse-built tree, in-sample mean: 28289.45
crps-built tree, out-sample mean: 27502.41
dss-built tree, out-sample mean: 25588.77
is1-built tree, out-sample mean: 26244.0
sse-built tree, out-sample mean: 27502.41
airfoil completed in 8.68 sec.
crps-built tree, in-sample mean: 2521.08
dss-built tree, in-sample mean: 2284.95
is1-built tree, in-sample mean: 2323.63
sse-built tree, in-sample mean: 2477.02
crps-built tree, out-sample mean: 2508.53
dss-built tree, out-sample mean: 2278.0
is1-built tree, out-sample mean: 2267.44
sse-built tree, out-sample mean: 2444.77
crps-built tree, in-sample mean: 3384.19
dss-built tree, in-sample mean: 3236.44
is1-built tree, in-sample mean: 3307.07
sse-built tree, in-sample mean: 3362.91
crps-built tree, out-sample mean: 3372.88
dss-built tree, out-sample mean: 3255.06
is1-built tree, out-sample mean: 3265.69
sse-built tree, out-sample mean: 3346.75
crps-built tree, in-sample mean: 99924.3
dss-built tree, in-sample mean: 98872.22
is1-built tree, in-sample mean: 98823.04
sse-built tree, in-sample mean: 99716.66
crps-built tree, out-sample mean: 100231.68
dss-built tree, out-sample mean: 99590.36
is1-built tree, out-sample mean: 99355.64
sse-built tree, out-sample mean: 100136.97
crps-built tree, in-sample mean: 28830.49
dss-built tree, in-sample mean: 23088.38
is1-built tree, in-sample mean: 23594.51
sse-built tree, in-sample mean: 27523.91
crps-built tree, out-sample mean: 27273.27
dss-built tree, out-sample mean: 22002.16
is1-built tree, out-sample mean: 21896.42
sse-built tree, out-sample mean: 26495.36
airfoil completed in 8.66 sec.
crps-built tree, in-sample mean: 2530.15
dss-built tree, in-sample mean: 2598.12
is1-built tree, in-sample mean: 2325.81
sse-built tree, in-sample mean: 2496.14
crps-built tree, out-sample mean: 2486.46
dss-built tree, out-sample mean: 2570.89
is1-built tree, out-sample mean: 2352.44
sse-built tree, out-sample mean: 2448.23
crps-built tree, in-sample mean: 3374.5
dss-built tree, in-sample mean: 3395.08
is1-built tree, in-sample mean: 3321.63
sse-built tree, in-sample mean: 3367.99
crps-built tree, out-sample mean: 3372.08
dss-built tree, out-sample mean: 3408.02
is1-built tree, out-sample mean: 3328.97
sse-built tree, out-sample mean: 3363.67
crps-built tree, in-sample mean: 100056.6
dss-built tree, in-sample mean: 100264.97
is1-built tree, in-sample mean: 98921.62
sse-built tree, in-sample mean: 99937.89
crps-built tree, out-sample mean: 100057.45
dss-built tree, out-sample mean: 100323.38
is1-built tree, out-sample mean: 99251.11
sse-built tree, out-sample mean: 99928.37
crps-built tree, in-sample mean: 28799.21
dss-built tree, in-sample mean: 30057.72
is1-built tree, in-sample mean: 23644.66
sse-built tree, in-sample mean: 28068.81
crps-built tree, out-sample mean: 27136.15
dss-built tree, out-sample mean: 28743.12
is1-built tree, out-sample mean: 24127.42
sse-built tree, out-sample mean: 26393.76
airfoil completed in 13.48 sec.
crps-built tree, in-sample mean: 2392.37
dss-built tree, in-sample mean: 2430.88
is1-built tree, in-sample mean: 2374.69
sse-built tree, in-sample mean: 2434.87
crps-built tree, out-sample mean: 2490.38
dss-built tree, out-sample mean: 2504.48
is1-built tree, out-sample mean: 2428.45
sse-built tree, out-sample mean: 2526.7
crps-built tree, in-sample mean: 3314.52
dss-built tree, in-sample mean: 3321.36
is1-built tree, in-sample mean: 3336.91
sse-built tree, in-sample mean: 3339.58
crps-built tree, out-sample mean: 3372.06
dss-built tree, out-sample mean: 3368.28
is1-built tree, out-sample mean: 3380.3
sse-built tree, out-sample mean: 3390.23
crps-built tree, in-sample mean: 99643.92
dss-built tree, in-sample mean: 99752.33
is1-built tree, in-sample mean: 99067.1
sse-built tree, in-sample mean: 99762.01
crps-built tree, out-sample mean: 100019.03
dss-built tree, out-sample mean: 100097.63
is1-built tree, out-sample mean: 99395.45
sse-built tree, out-sample mean: 100172.21
crps-built tree, in-sample mean: 25506.51
dss-built tree, in-sample mean: 26156.25
is1-built tree, in-sample mean: 24574.7
sse-built tree, in-sample mean: 26431.2
crps-built tree, out-sample mean: 27422.34
dss-built tree, out-sample mean: 27714.59
is1-built tree, out-sample mean: 25324.8
sse-built tree, out-sample mean: 28367.64
