,Method,Metric,Train,Test,Threshold,Rep
0,crps,sse,11548.01,13145.16,0.0,0
1,crps,crps,1508.32,1594.79,0.0,0
2,crps,dss,2548.69,2676.62,0.0,0
3,crps,is1,8741.17,9175.63,0.0,0
4,dss,sse,11705.01,13159.49,0.0,0
5,dss,crps,1508.05,1603.47,0.0,0
6,dss,dss,2580.3,2657.58,0.0,0
7,dss,is1,8753.39,9183.49,0.0,0
8,is1,sse,11756.85,13148.01,0.0,0
9,is1,crps,1509.63,1603.2,0.0,0
10,is1,dss,2560.9,2668.21,0.0,0
11,is1,is1,8782.55,9157.72,0.0,0
12,sse,sse,11640.61,13065.01,0.0,0
13,sse,crps,1502.73,1597.53,0.0,0
14,sse,dss,2564.12,2663.41,0.0,0
15,sse,is1,8764.11,9154.42,0.0,0
16,crps,sse,11356.91,13334.84,0.1,0
17,crps,crps,1485.66,1622.57,0.1,0
18,crps,dss,2527.92,2705.92,0.1,0
19,crps,is1,8669.0,9230.87,0.1,0
20,dss,sse,11614.39,13368.1,0.1,0
21,dss,crps,1492.7,1629.44,0.1,0
22,dss,dss,2544.71,2702.99,0.1,0
23,dss,is1,8718.28,9227.15,0.1,0
24,is1,sse,11614.39,13368.1,0.1,0
25,is1,crps,1492.7,1629.44,0.1,0
26,is1,dss,2544.71,2702.99,0.1,0
27,is1,is1,8718.28,9227.15,0.1,0
28,sse,sse,11531.84,13283.08,0.1,0
29,sse,crps,1486.21,1623.11,0.1,0
30,sse,dss,2542.63,2701.46,0.1,0
31,sse,is1,8733.73,9199.31,0.1,0
32,crps,sse,11103.78,13497.32,0.3,0
33,crps,crps,1468.43,1631.82,0.3,0
34,crps,dss,2522.45,2710.4,0.3,0
35,crps,is1,8663.45,9244.93,0.3,0
36,dss,sse,11406.51,13732.16,0.3,0
37,dss,crps,1484.25,1644.33,0.3,0
38,dss,dss,2530.56,2717.54,0.3,0
39,dss,is1,8689.83,9287.87,0.3,0
40,is1,sse,11406.51,13732.16,0.3,0
41,is1,crps,1484.25,1644.33,0.3,0
42,is1,dss,2530.56,2717.54,0.3,0
43,is1,is1,8689.83,9287.87,0.3,0
44,sse,sse,11103.78,13497.32,0.3,0
45,sse,crps,1468.43,1631.82,0.3,0
46,sse,dss,2522.45,2710.4,0.3,0
47,sse,is1,8663.45,9244.93,0.3,0
48,crps,sse,11103.78,13497.32,0.5,0
49,crps,crps,1468.43,1631.82,0.5,0
50,crps,dss,2522.45,2710.4,0.5,0
51,crps,is1,8663.45,9244.93,0.5,0
52,dss,sse,12867.17,15165.58,0.5,0
53,dss,crps,1566.46,1721.34,0.5,0
54,dss,dss,2597.84,2775.6,0.5,0
55,dss,is1,8911.44,9508.19,0.5,0
56,is1,sse,11406.51,13732.16,0.5,0
57,is1,crps,1484.25,1644.33,0.5,0
58,is1,dss,2530.56,2717.54,0.5,0
59,is1,is1,8689.83,9287.87,0.5,0
60,sse,sse,11103.78,13497.32,0.5,0
61,sse,crps,1468.43,1631.82,0.5,0
62,sse,dss,2522.45,2710.4,0.5,0
63,sse,is1,8663.45,9244.93,0.5,0
64,crps,sse,11103.78,13497.32,0.8,0
65,crps,crps,1468.43,1631.82,0.8,0
66,crps,dss,2522.45,2710.4,0.8,0
67,crps,is1,8663.45,9244.93,0.8,0
68,dss,sse,17850.53,20742.93,0.8,0
69,dss,crps,1806.69,1973.17,0.8,0
70,dss,dss,2789.17,2962.21,0.8,0
71,dss,is1,9814.44,10467.62,0.8,0
72,is1,sse,12867.17,15165.58,0.8,0
73,is1,crps,1566.46,1721.34,0.8,0
74,is1,dss,2597.84,2775.6,0.8,0
75,is1,is1,8911.44,9508.19,0.8,0
