Method,Metric,Train,Test,Threshold,Rep,n,Dataset
crps,sse,69.45,406.41,0,0,200,easy
crps,crps,50.86,300.72,0,0,200,easy
crps,dss,-112.18,-72.3,0,0,200,easy
crps,is1,597.87,3277.71,0,0,200,easy
dss,sse,88.65,498.91,0,0,200,easy
dss,crps,53.7,311.45,0,0,200,easy
dss,dss,-150.03,-173.59,0,0,200,easy
dss,is1,604.12,3298.14,0,0,200,easy
is1,sse,76.12,438.67,0,0,200,easy
is1,crps,53.52,313.66,0,0,200,easy
is1,dss,-61.49,160.44,0,0,200,easy
is1,is1,593.83,3293.28,0,0,200,easy
sse,sse,69.45,406.41,0,0,200,easy
sse,crps,50.86,300.72,0,0,200,easy
sse,dss,-112.18,-72.3,0,0,200,easy
sse,is1,597.87,3277.71,0,0,200,easy
crps,sse,74.88,405.99,0.1,0,200,easy
crps,crps,53.69,296.26,0.1,0,200,easy
crps,dss,-23.99,118.72,0.1,0,200,easy
crps,is1,599.3,3262.3,0.1,0,200,easy
dss,sse,90.39,491.58,0.1,0,200,easy
dss,crps,55.11,304.42,0.1,0,200,easy
dss,dss,-141.49,-216.21,0.1,0,200,easy
dss,is1,605.21,3281.51,0.1,0,200,easy
is1,sse,78.73,434.73,0.1,0,200,easy
is1,crps,55.31,306.27,0.1,0,200,easy
is1,dss,-13.29,160.95,0.1,0,200,easy
is1,is1,598.16,3276.13,0.1,0,200,easy
sse,sse,74.88,405.99,0.1,0,200,easy
sse,crps,53.69,296.26,0.1,0,200,easy
sse,dss,-23.99,118.72,0.1,0,200,easy
sse,is1,599.3,3262.3,0.1,0,200,easy
crps,sse,191.74,986.66,0.3,0,200,easy
crps,crps,98.76,511.17,0.3,0,200,easy
crps,dss,182.22,847.86,0.3,0,200,easy
crps,is1,728.46,3803.1,0.3,0,200,easy
dss,sse,262.94,1603.09,0.3,0,200,easy
dss,crps,116.23,655.21,0.3,0,200,easy
dss,dss,164.54,1022.01,0.3,0,200,easy
dss,is1,792.79,4280.7,0.3,0,200,easy
is1,sse,78.73,434.73,0.3,0,200,easy
is1,crps,55.31,306.27,0.3,0,200,easy
is1,dss,-13.29,160.95,0.3,0,200,easy
is1,is1,598.16,3276.13,0.3,0,200,easy
sse,sse,191.74,986.66,0.3,0,200,easy
sse,crps,98.76,511.17,0.3,0,200,easy
sse,dss,182.22,847.86,0.3,0,200,easy
sse,is1,728.46,3803.1,0.3,0,200,easy
crps,sse,191.74,986.66,0.5,0,200,easy
crps,crps,98.76,511.17,0.5,0,200,easy
crps,dss,182.22,847.86,0.5,0,200,easy
crps,is1,728.46,3803.1,0.5,0,200,easy
dss,sse,262.94,1603.09,0.5,0,200,easy
dss,crps,116.23,655.21,0.5,0,200,easy
dss,dss,164.54,1022.01,0.5,0,200,easy
dss,is1,792.79,4280.7,0.5,0,200,easy
is1,sse,191.74,986.66,0.5,0,200,easy
is1,crps,98.76,511.17,0.5,0,200,easy
is1,dss,182.22,847.86,0.5,0,200,easy
is1,is1,728.46,3803.1,0.5,0,200,easy
sse,sse,191.74,986.66,0.5,0,200,easy
sse,crps,98.76,511.17,0.5,0,200,easy
sse,dss,182.22,847.86,0.5,0,200,easy
sse,is1,728.46,3803.1,0.5,0,200,easy
crps,sse,191.74,986.66,0.8,0,200,easy
crps,crps,98.76,511.17,0.8,0,200,easy
crps,dss,182.22,847.86,0.8,0,200,easy
crps,is1,728.46,3803.1,0.8,0,200,easy
dss,sse,262.94,1603.09,0.8,0,200,easy
dss,crps,116.23,655.21,0.8,0,200,easy
dss,dss,164.54,1022.01,0.8,0,200,easy
dss,is1,792.79,4280.7,0.8,0,200,easy
is1,sse,191.74,986.66,0.8,0,200,easy
is1,crps,98.76,511.17,0.8,0,200,easy
is1,dss,182.22,847.86,0.8,0,200,easy
is1,is1,728.46,3803.1,0.8,0,200,easy
sse,sse,191.74,986.66,0.8,0,200,easy
sse,crps,98.76,511.17,0.8,0,200,easy
sse,dss,182.22,847.86,0.8,0,200,easy
sse,is1,728.46,3803.1,0.8,0,200,easy
crps,sse,76.6,522.39,0,1,200,easy
crps,crps,52.71,315.84,0,1,200,easy
crps,dss,-130.63,-54.16,0,1,200,easy
crps,is1,642.99,3518.61,0,1,200,easy
dss,sse,76.6,522.39,0,1,200,easy
dss,crps,52.71,315.84,0,1,200,easy
dss,dss,-130.63,-54.16,0,1,200,easy
dss,is1,642.99,3518.61,0,1,200,easy
is1,sse,74.25,575.42,0,1,200,easy
is1,crps,51.97,338.01,0,1,200,easy
is1,dss,-119.21,-143.51,0,1,200,easy
is1,is1,630.55,3515.24,0,1,200,easy
sse,sse,76.53,524.38,0,1,200,easy
sse,crps,52.78,316.65,0,1,200,easy
sse,dss,-122.55,-17.86,0,1,200,easy
sse,is1,641.92,3518.85,0,1,200,easy
crps,sse,84.39,570.66,0.1,1,200,easy
crps,crps,55.5,321.02,0.1,1,200,easy
crps,dss,-78.1,-88.31,0.1,1,200,easy
crps,is1,651.26,3517.5,0.1,1,200,easy
dss,sse,78.22,516.24,0.1,1,200,easy
dss,crps,53.82,311.55,0.1,1,200,easy
dss,dss,-113.62,-328.53,0.1,1,200,easy
dss,is1,648.18,3491.13,0.1,1,200,easy
is1,sse,76.68,586.8,0.1,1,200,easy
is1,crps,53.65,338.13,0.1,1,200,easy
is1,dss,-99.36,-59.13,0.1,1,200,easy
is1,is1,636.45,3494.56,0.1,1,200,easy
sse,sse,84.39,570.66,0.1,1,200,easy
sse,crps,55.5,321.02,0.1,1,200,easy
sse,dss,-78.1,-88.31,0.1,1,200,easy
sse,is1,651.26,3517.5,0.1,1,200,easy
crps,sse,201.59,1161.55,0.3,1,200,easy
crps,crps,100.94,552.97,0.3,1,200,easy
crps,dss,98.42,654.34,0.3,1,200,easy
crps,is1,752.71,3942.66,0.3,1,200,easy
dss,sse,201.59,1161.55,0.3,1,200,easy
dss,crps,100.94,552.97,0.3,1,200,easy
dss,dss,98.42,654.34,0.3,1,200,easy
dss,is1,752.71,3942.66,0.3,1,200,easy
is1,sse,85.25,644.84,0.3,1,200,easy
is1,crps,55.7,348.81,0.3,1,200,easy
is1,dss,-53.77,187.77,0.3,1,200,easy
is1,is1,642.91,3522.2,0.3,1,200,easy
sse,sse,201.59,1161.55,0.3,1,200,easy
sse,crps,100.94,552.97,0.3,1,200,easy
sse,dss,98.42,654.34,0.3,1,200,easy
sse,is1,752.71,3942.66,0.3,1,200,easy
crps,sse,201.59,1161.55,0.5,1,200,easy
crps,crps,100.94,552.97,0.5,1,200,easy
crps,dss,98.42,654.34,0.5,1,200,easy
crps,is1,752.71,3942.66,0.5,1,200,easy
dss,sse,201.59,1161.55,0.5,1,200,easy
dss,crps,100.94,552.97,0.5,1,200,easy
dss,dss,98.42,654.34,0.5,1,200,easy
dss,is1,752.71,3942.66,0.5,1,200,easy
is1,sse,201.59,1161.55,0.5,1,200,easy
is1,crps,100.94,552.97,0.5,1,200,easy
is1,dss,98.42,654.34,0.5,1,200,easy
is1,is1,752.71,3942.66,0.5,1,200,easy
sse,sse,201.59,1161.55,0.5,1,200,easy
sse,crps,100.94,552.97,0.5,1,200,easy
sse,dss,98.42,654.34,0.5,1,200,easy
sse,is1,752.71,3942.66,0.5,1,200,easy
crps,sse,201.59,1161.55,0.8,1,200,easy
crps,crps,100.94,552.97,0.8,1,200,easy
crps,dss,98.42,654.34,0.8,1,200,easy
crps,is1,752.71,3942.66,0.8,1,200,easy
dss,sse,201.59,1161.55,0.8,1,200,easy
dss,crps,100.94,552.97,0.8,1,200,easy
dss,dss,98.42,654.34,0.8,1,200,easy
dss,is1,752.71,3942.66,0.8,1,200,easy
is1,sse,201.59,1161.55,0.8,1,200,easy
is1,crps,100.94,552.97,0.8,1,200,easy
