,Method,Metric,Train,Test,Threshold,Rep
0,crps,sse,468.14,344.01,0.0,0
1,crps,crps,412.48,270.24,0.0,0
2,crps,dss,-1028.18,-462.89,0.0,0
3,crps,is1,5194.45,3308.42,0.0,0
4,dss,sse,553.62,398.14,0.0,0
5,dss,crps,428.89,281.61,0.0,0
6,dss,dss,-1082.66,-513.96,0.0,0
7,dss,is1,5174.22,3270.95,0.0,0
8,is1,sse,511.14,383.62,0.0,0
9,is1,crps,425.16,285.76,0.0,0
10,is1,dss,-807.51,-355.66,0.0,0
11,is1,is1,5123.95,3267.01,0.0,0
12,sse,sse,467.13,343.54,0.0,0
13,sse,crps,412.78,269.39,0.0,0
14,sse,dss,-1035.35,-465.81,0.0,0
15,sse,is1,5200.15,3303.28,0.0,0
16,crps,sse,482.66,341.58,0.1,0
17,crps,crps,418.98,267.68,0.1,0
18,crps,dss,-973.75,-492.58,0.1,0
19,crps,is1,5230.53,3300.8,0.1,0
20,dss,sse,556.68,395.35,0.1,0
21,dss,crps,431.77,279.0,0.1,0
22,dss,dss,-1060.03,-553.55,0.1,0
23,dss,is1,5184.44,3259.33,0.1,0
24,is1,sse,601.65,429.69,0.1,0
25,is1,crps,447.23,295.11,0.1,0
26,is1,dss,-12.22,101.28,0.1,0
27,is1,is1,5143.89,3257.43,0.1,0
28,sse,sse,482.66,341.58,0.1,0
29,sse,crps,418.98,267.68,0.1,0
30,sse,dss,-973.75,-492.58,0.1,0
31,sse,is1,5230.53,3300.8,0.1,0
32,crps,sse,1702.68,1172.91,0.3,0
33,crps,crps,848.53,554.59,0.3,0
34,crps,dss,897.98,661.82,0.3,0
35,crps,is1,6178.79,3958.86,0.3,0
36,dss,sse,1702.68,1172.91,0.3,0
37,dss,crps,848.53,554.59,0.3,0
38,dss,dss,897.98,661.82,0.3,0
39,dss,is1,6178.79,3958.86,0.3,0
40,is1,sse,2167.67,1379.78,0.3,0
41,is1,crps,946.25,597.45,0.3,0
42,is1,dss,2068.8,1313.82,0.3,0
43,is1,is1,6110.85,3861.07,0.3,0
44,sse,sse,1702.68,1172.91,0.3,0
45,sse,crps,848.53,554.59,0.3,0
46,sse,dss,897.98,661.82,0.3,0
47,sse,is1,6178.79,3958.86,0.3,0
48,crps,sse,1702.68,1172.91,0.5,0
49,crps,crps,848.53,554.59,0.5,0
50,crps,dss,897.98,661.82,0.5,0
51,crps,is1,6178.79,3958.86,0.5,0
52,dss,sse,1702.68,1172.91,0.5,0
53,dss,crps,848.53,554.59,0.5,0
54,dss,dss,897.98,661.82,0.5,0
55,dss,is1,6178.79,3958.86,0.5,0
56,is1,sse,2167.67,1379.78,0.5,0
57,is1,crps,946.25,597.45,0.5,0
58,is1,dss,2068.8,1313.82,0.5,0
59,is1,is1,6110.85,3861.07,0.5,0
60,sse,sse,1702.68,1172.91,0.5,0
61,sse,crps,848.53,554.59,0.5,0
62,sse,dss,897.98,661.82,0.5,0
63,sse,is1,6178.79,3958.86,0.5,0
64,crps,sse,1702.68,1172.91,0.8,0
65,crps,crps,848.53,554.59,0.8,0
66,crps,dss,897.98,661.82,0.8,0
67,crps,is1,6178.79,3958.86,0.8,0
68,dss,sse,1702.68,1172.91,0.8,0
69,dss,crps,848.53,554.59,0.8,0
70,dss,dss,897.98,661.82,0.8,0
71,dss,is1,6178.79,3958.86,0.8,0
72,is1,sse,2167.67,1379.78,0.8,0
73,is1,crps,946.25,597.45,0.8,0
74,is1,dss,2068.8,1313.82,0.8,0
75,is1,is1,6110.85,3861.07,0.8,0
76,sse,sse,1702.68,1172.91,0.8,0
77,sse,crps,848.53,554.59,0.8,0
78,sse,dss,897.98,661.82,0.8,0
79,sse,is1,6178.79,3958.86,0.8,0
0,crps,sse,407.82,343.52,0.0,1
1,crps,crps,385.9,268.66,0.0,1
2,crps,dss,-1259.49,-570.03,0.0,1
3,crps,is1,5028.48,3256.3,0.0,1
4,dss,sse,523.12,381.86,0.0,1
5,dss,crps,427.92,284.14,0.0,1
6,dss,dss,-973.99,-401.97,0.0,1
7,dss,is1,5213.32,3328.3,0.0,1
8,is1,sse,413.36,355.5,0.0,1
9,is1,crps,388.39,273.19,0.0,1
10,is1,dss,-1123.05,-423.1,0.0,1
11,is1,is1,5026.98,3257.23,0.0,1
12,sse,sse,407.82,343.52,0.0,1
13,sse,crps,385.9,268.66,0.0,1
14,sse,dss,-1259.49,-570.03,0.0,1
15,sse,is1,5028.48,3256.3,0.0,1
16,crps,sse,416.07,353.48,0.1,1
17,crps,crps,390.57,272.11,0.1,1
18,crps,dss,-1101.46,-442.46,0.1,1
19,crps,is1,5038.53,3248.92,0.1,1
20,dss,sse,524.83,380.7,0.1,1
21,dss,crps,430.19,282.11,0.1,1
22,dss,dss,-949.8,-427.11,0.1,1
23,dss,is1,5219.15,3323.65,0.1,1
24,is1,sse,416.07,353.48,0.1,1
25,is1,crps,390.57,272.11,0.1,1
26,is1,dss,-1101.46,-442.46,0.1,1
27,is1,is1,5038.53,3248.92,0.1,1
28,sse,sse,416.07,353.48,0.1,1
29,sse,crps,390.57,272.11,0.1,1
30,sse,dss,-1101.46,-442.46,0.1,1
31,sse,is1,5038.53,3248.92,0.1,1
32,crps,sse,1611.77,1081.22,0.3,1
33,crps,crps,825.22,532.46,0.3,1
34,crps,dss,811.95,575.0,0.3,1
35,crps,is1,6083.16,3890.55,0.3,1
36,dss,sse,1611.77,1081.22,0.3,1
37,dss,crps,825.22,532.46,0.3,1
38,dss,dss,811.95,575.0,0.3,1
39,dss,is1,6083.16,3890.55,0.3,1
40,is1,sse,1611.77,1081.22,0.3,1
41,is1,crps,825.22,532.46,0.3,1
42,is1,dss,811.95,575.0,0.3,1
43,is1,is1,6083.16,3890.55,0.3,1
44,sse,sse,1611.77,1081.22,0.3,1
45,sse,crps,825.22,532.46,0.3,1
46,sse,dss,811.95,575.0,0.3,1
47,sse,is1,6083.16,3890.55,0.3,1
48,crps,sse,1611.77,1081.22,0.5,1
49,crps,crps,825.22,532.46,0.5,1
50,crps,dss,811.95,575.0,0.5,1
51,crps,is1,6083.16,3890.55,0.5,1
52,dss,sse,1611.77,1081.22,0.5,1
53,dss,crps,825.22,532.46,0.5,1
54,dss,dss,811.95,575.0,0.5,1
55,dss,is1,6083.16,3890.55,0.5,1
56,is1,sse,1611.77,1081.22,0.5,1
57,is1,crps,825.22,532.46,0.5,1
58,is1,dss,811.95,575.0,0.5,1
59,is1,is1,6083.16,3890.55,0.5,1
60,sse,sse,1611.77,1081.22,0.5,1
61,sse,crps,825.22,532.46,0.5,1
62,sse,dss,811.95,575.0,0.5,1
63,sse,is1,6083.16,3890.55,0.5,1
64,crps,sse,1611.77,1081.22,0.8,1
65,crps,crps,825.22,532.46,0.8,1
66,crps,dss,811.95,575.0,0.8,1
67,crps,is1,6083.16,3890.55,0.8,1
68,dss,sse,1611.77,1081.22,0.8,1
69,dss,crps,825.22,532.46,0.8,1
70,dss,dss,811.95,575.0,0.8,1
71,dss,is1,6083.16,3890.55,0.8,1
72,is1,sse,1611.77,1081.22,0.8,1
73,is1,crps,825.22,532.46,0.8,1
74,is1,dss,811.95,575.0,0.8,1
75,is1,is1,6083.16,3890.55,0.8,1
76,sse,sse,1611.77,1081.22,0.8,1
77,sse,crps,825.22,532.46,0.8,1
78,sse,dss,811.95,575.0,0.8,1
79,sse,is1,6083.16,3890.55,0.8,1
0,crps,sse,531.93,328.57,0.0,2
1,crps,crps,418.45,263.99,0.0,2
2,crps,dss,-912.57,-470.7,0.0,2
3,crps,is1,5226.83,3284.31,0.0,2
4,dss,sse,551.72,370.99,0.0,2
5,dss,crps,421.93,275.27,0.0,2
6,dss,dss,-1020.26,-513.75,0.0,2
7,dss,is1,5152.69,3269.25,0.0,2
8,is1,sse,463.28,324.2,0.0,2
9,is1,crps,399.65,262.51,0.0,2
