,Train(%),Test(%),Method,Threshold,n
0,13.333333333333334,56.666666666666664,crps,0.0,200
1,40.0,60.0,dss,0.0,200
2,13.333333333333334,43.333333333333336,is1,0.0,200
3,6.666666666666667,13.333333333333334,crps,0.1,200
4,3.3333333333333335,26.666666666666668,dss,0.1,200
5,13.333333333333334,36.666666666666664,is1,0.1,200
6,0.0,0.0,crps,0.3,200
7,0.0,3.3333333333333335,dss,0.3,200
8,0.0,3.3333333333333335,is1,0.3,200
9,0.0,0.0,crps,0.5,200
10,0.0,6.666666666666667,dss,0.5,200
11,0.0,3.3333333333333335,is1,0.5,200
12,0.0,0.0,crps,0.8,200
13,0.0,10.0,dss,0.8,200
14,0.0,3.3333333333333335,is1,0.8,200
15,10.0,40.0,crps,0.0,400
16,33.33333333333333,63.33333333333333,dss,0.0,400
17,16.666666666666664,43.333333333333336,is1,0.0,400
18,3.3333333333333335,6.666666666666667,crps,0.1,400
19,10.0,23.333333333333332,dss,0.1,400
20,30.0,30.0,is1,0.1,400
21,0.0,0.0,crps,0.3,400
22,3.3333333333333335,3.3333333333333335,dss,0.3,400
23,3.3333333333333335,3.3333333333333335,is1,0.3,400
24,0.0,3.3333333333333335,crps,0.5,400
25,0.0,3.3333333333333335,dss,0.5,400
26,0.0,0.0,is1,0.5,400
27,0.0,3.3333333333333335,crps,0.8,400
28,0.0,3.3333333333333335,dss,0.8,400
29,0.0,0.0,is1,0.8,400
30,16.666666666666664,56.666666666666664,crps,0.0,800
31,33.33333333333333,56.666666666666664,dss,0.0,800
32,16.666666666666664,40.0,is1,0.0,800
33,10.0,13.333333333333334,crps,0.1,800
34,16.666666666666664,23.333333333333332,dss,0.1,800
35,13.333333333333334,30.0,is1,0.1,800
36,0.0,0.0,crps,0.3,800
37,0.0,3.3333333333333335,dss,0.3,800
38,3.3333333333333335,3.3333333333333335,is1,0.3,800
39,0.0,0.0,crps,0.5,800
40,0.0,0.0,dss,0.5,800
41,0.0,3.3333333333333335,is1,0.5,800
42,0.0,0.0,crps,0.8,800
43,0.0,0.0,dss,0.8,800
44,0.0,3.3333333333333335,is1,0.8,800
45,23.333333333333332,50.0,crps,0.0,1600
46,30.0,46.666666666666664,dss,0.0,1600
47,16.666666666666664,36.666666666666664,is1,0.0,1600
48,13.333333333333334,10.0,crps,0.1,1600
49,3.3333333333333335,10.0,dss,0.1,1600
50,26.666666666666668,23.333333333333332,is1,0.1,1600
51,0.0,0.0,crps,0.3,1600
52,3.3333333333333335,3.3333333333333335,dss,0.3,1600
53,0.0,0.0,is1,0.3,1600
54,0.0,0.0,crps,0.5,1600
55,0.0,0.0,dss,0.5,1600
56,0.0,0.0,is1,0.5,1600
57,0.0,0.0,crps,0.8,1600
58,0.0,0.0,dss,0.8,1600
59,0.0,0.0,is1,0.8,1600
