
airfoil completed in 5.16 sec.
crps-built tree, in-sample mean: 2426.15
dss-built tree, in-sample mean: 2590.27
is1-built tree, in-sample mean: 2337.37
sse-built tree, in-sample mean: 2426.15
crps-built tree, out-sample mean: 2546.94
dss-built tree, out-sample mean: 2614.42
is1-built tree, out-sample mean: 2267.08
sse-built tree, out-sample mean: 2546.94
crps-built tree, in-sample mean: 3342.51
dss-built tree, in-sample mean: 3406.63
is1-built tree, in-sample mean: 3319.31
sse-built tree, in-sample mean: 3342.51
crps-built tree, out-sample mean: 3406.21
dss-built tree, out-sample mean: 3421.11
is1-built tree, out-sample mean: 3258.89
sse-built tree, out-sample mean: 3406.21
crps-built tree, in-sample mean: 99681.64
dss-built tree, in-sample mean: 100360.43
is1-built tree, in-sample mean: 99227.3
sse-built tree, in-sample mean: 99681.64
crps-built tree, out-sample mean: 100036.84
dss-built tree, out-sample mean: 100233.24
is1-built tree, out-sample mean: 98970.26
sse-built tree, out-sample mean: 100036.84
crps-built tree, in-sample mean: 26303.47
dss-built tree, in-sample mean: 29806.65
is1-built tree, in-sample mean: 24070.3
sse-built tree, in-sample mean: 26303.47
crps-built tree, out-sample mean: 28170.97
dss-built tree, out-sample mean: 29448.96
is1-built tree, out-sample mean: 21659.89
sse-built tree, out-sample mean: 28170.97
airfoil completed in 4.42 sec.
crps-built tree, in-sample mean: 2498.6
dss-built tree, in-sample mean: 2579.25
is1-built tree, in-sample mean: 2255.57
sse-built tree, in-sample mean: 2498.6
crps-built tree, out-sample mean: 2544.48
dss-built tree, out-sample mean: 2643.12
is1-built tree, out-sample mean: 2348.33
sse-built tree, out-sample mean: 2544.48
crps-built tree, in-sample mean: 3343.61
dss-built tree, in-sample mean: 3374.92
is1-built tree, in-sample mean: 3256.3
sse-built tree, in-sample mean: 3343.61
crps-built tree, out-sample mean: 3412.73
dss-built tree, out-sample mean: 3453.19
is1-built tree, out-sample mean: 3324.83
sse-built tree, out-sample mean: 3412.73
crps-built tree, in-sample mean: 99843.99
dss-built tree, in-sample mean: 100015.09
is1-built tree, in-sample mean: 98862.88
sse-built tree, in-sample mean: 99843.99
crps-built tree, out-sample mean: 100348.13
dss-built tree, out-sample mean: 100565.0
is1-built tree, out-sample mean: 99330.7
sse-built tree, out-sample mean: 100348.13
crps-built tree, in-sample mean: 28338.37
dss-built tree, in-sample mean: 29758.01
is1-built tree, in-sample mean: 22475.97
sse-built tree, in-sample mean: 28338.37
crps-built tree, out-sample mean: 28073.0
dss-built tree, out-sample mean: 30084.87
is1-built tree, out-sample mean: 23242.93
sse-built tree, out-sample mean: 28073.0
airfoil completed in 6.19 sec.
crps-built tree, in-sample mean: 2468.64
dss-built tree, in-sample mean: 2468.64
is1-built tree, in-sample mean: 2265.07
sse-built tree, in-sample mean: 2487.15
crps-built tree, out-sample mean: 2515.71
dss-built tree, out-sample mean: 2515.71
is1-built tree, out-sample mean: 2311.69
sse-built tree, out-sample mean: 2539.63
crps-built tree, in-sample mean: 3341.34
dss-built tree, in-sample mean: 3341.34
is1-built tree, in-sample mean: 3265.57
sse-built tree, in-sample mean: 3362.3
crps-built tree, out-sample mean: 3380.22
dss-built tree, out-sample mean: 3380.22
is1-built tree, out-sample mean: 3292.87
sse-built tree, out-sample mean: 3406.98
crps-built tree, in-sample mean: 99873.92
dss-built tree, in-sample mean: 99873.92
is1-built tree, in-sample mean: 99026.61
sse-built tree, in-sample mean: 99902.61
crps-built tree, out-sample mean: 100107.79
dss-built tree, out-sample mean: 100107.79
is1-built tree, out-sample mean: 99232.12
sse-built tree, out-sample mean: 100072.1
crps-built tree, in-sample mean: 27288.53
dss-built tree, in-sample mean: 27288.53
is1-built tree, in-sample mean: 22456.37
sse-built tree, in-sample mean: 27562.25
crps-built tree, out-sample mean: 27509.59
dss-built tree, out-sample mean: 27509.59
is1-built tree, out-sample mean: 22738.16
sse-built tree, out-sample mean: 28012.77
airfoil completed in 6.3 sec.
crps-built tree, in-sample mean: 2468.64
dss-built tree, in-sample mean: 2468.64
is1-built tree, in-sample mean: 2265.07
sse-built tree, in-sample mean: 2487.15
crps-built tree, out-sample mean: 2515.71
dss-built tree, out-sample mean: 2515.71
is1-built tree, out-sample mean: 2311.69
sse-built tree, out-sample mean: 2539.63
crps-built tree, in-sample mean: 3341.34
dss-built tree, in-sample mean: 3341.34
is1-built tree, in-sample mean: 3265.57
sse-built tree, in-sample mean: 3362.3
crps-built tree, out-sample mean: 3380.22
dss-built tree, out-sample mean: 3380.22
is1-built tree, out-sample mean: 3292.87
sse-built tree, out-sample mean: 3406.98
crps-built tree, in-sample mean: 99873.92
dss-built tree, in-sample mean: 99873.92
is1-built tree, in-sample mean: 99026.61
sse-built tree, in-sample mean: 99902.61
crps-built tree, out-sample mean: 100107.79
dss-built tree, out-sample mean: 100107.79
is1-built tree, out-sample mean: 99232.12
sse-built tree, out-sample mean: 100072.1
crps-built tree, in-sample mean: 27288.53
dss-built tree, in-sample mean: 27288.53
is1-built tree, in-sample mean: 22456.37
sse-built tree, in-sample mean: 27562.25
crps-built tree, out-sample mean: 27509.59
dss-built tree, out-sample mean: 27509.59
is1-built tree, out-sample mean: 22738.16
sse-built tree, out-sample mean: 28012.77
