,Method,Metric,Train,Test,Threshold,Rep
0,crps,sse,17679.42,16981.17,0.0,0
1,crps,crps,1403.46,1373.99,0.0,0
2,crps,dss,1946.08,1942.92,0.0,0
3,crps,is1,4890.24,4869.01,0.0,0
4,dss,sse,19838.02,22387.02,0.0,0
5,dss,crps,1518.54,1590.97,0.0,0
6,dss,dss,2031.54,2039.72,0.0,0
7,dss,is1,4979.17,5165.82,0.0,0
8,is1,sse,19324.92,21667.66,0.0,0
9,is1,crps,1471.74,1553.65,0.0,0
10,is1,dss,2037.53,2102.04,0.0,0
11,is1,is1,4822.58,5026.22,0.0,0
12,sse,sse,17618.74,16930.32,0.0,0
13,sse,crps,1498.06,1448.25,0.0,0
14,sse,dss,2208.76,2156.93,0.0,0
15,sse,is1,5476.52,5238.47,0.0,0
16,crps,sse,17679.42,16981.17,0.1,0
17,crps,crps,1403.46,1373.99,0.1,0
18,crps,dss,1946.08,1942.92,0.1,0
19,crps,is1,4890.24,4869.01,0.1,0
20,dss,sse,19838.02,22387.02,0.1,0
21,dss,crps,1518.54,1590.97,0.1,0
22,dss,dss,2031.54,2039.72,0.1,0
23,dss,is1,4979.17,5165.82,0.1,0
24,is1,sse,19324.92,21667.66,0.1,0
25,is1,crps,1471.74,1553.65,0.1,0
26,is1,dss,2037.53,2102.04,0.1,0
27,is1,is1,4822.58,5026.22,0.1,0
28,sse,sse,17739.91,16988.93,0.1,0
29,sse,crps,1517.9,1471.4,0.1,0
30,sse,dss,2285.31,2262.61,0.1,0
31,sse,is1,5531.1,5276.64,0.1,0
32,crps,sse,17679.42,16981.17,0.3,0
33,crps,crps,1403.46,1373.99,0.3,0
34,crps,dss,1946.08,1942.92,0.3,0
35,crps,is1,4890.24,4869.01,0.3,0
36,dss,sse,19838.02,22387.02,0.3,0
37,dss,crps,1518.54,1590.97,0.3,0
38,dss,dss,2031.54,2039.72,0.3,0
39,dss,is1,4979.17,5165.82,0.3,0
40,is1,sse,19324.92,21667.66,0.3,0
41,is1,crps,1471.74,1553.65,0.3,0
42,is1,dss,2037.53,2102.04,0.3,0
43,is1,is1,4822.58,5026.22,0.3,0
44,sse,sse,17739.91,16988.93,0.3,0
45,sse,crps,1517.9,1471.4,0.3,0
46,sse,dss,2285.31,2262.61,0.3,0
47,sse,is1,5531.1,5276.64,0.3,0
48,crps,sse,17739.91,16988.93,0.5,0
49,crps,crps,1517.9,1471.4,0.5,0
50,crps,dss,2285.31,2262.61,0.5,0
51,crps,is1,5531.1,5276.64,0.5,0
52,dss,sse,19838.02,22387.02,0.5,0
53,dss,crps,1518.54,1590.97,0.5,0
54,dss,dss,2031.54,2039.72,0.5,0
55,dss,is1,4979.17,5165.82,0.5,0
56,is1,sse,19324.92,21667.66,0.5,0
57,is1,crps,1471.74,1553.65,0.5,0
58,is1,dss,2037.53,2102.04,0.5,0
59,is1,is1,4822.58,5026.22,0.5,0
60,sse,sse,17739.91,16988.93,0.5,0
61,sse,crps,1517.9,1471.4,0.5,0
62,sse,dss,2285.31,2262.61,0.5,0
63,sse,is1,5531.1,5276.64,0.5,0
64,crps,sse,17739.91,16988.93,0.8,0
65,crps,crps,1517.9,1471.4,0.8,0
66,crps,dss,2285.31,2262.61,0.8,0
67,crps,is1,5531.1,5276.64,0.8,0
68,dss,sse,19838.02,22387.02,0.8,0
69,dss,crps,1518.54,1590.97,0.8,0
70,dss,dss,2031.54,2039.72,0.8,0
71,dss,is1,4979.17,5165.82,0.8,0
72,is1,sse,19324.92,21667.66,0.8,0
73,is1,crps,1471.74,1553.65,0.8,0
74,is1,dss,2037.53,2102.04,0.8,0
75,is1,is1,4822.58,5026.22,0.8,0
76,sse,sse,17739.91,16988.93,0.8,0
77,sse,crps,1517.9,1471.4,0.8,0
78,sse,dss,2285.31,2262.61,0.8,0
79,sse,is1,5531.1,5276.64,0.8,0
0,crps,sse,20627.7,20837.13,0.0,1
1,crps,crps,1525.72,1503.17,0.0,1
2,crps,dss,2017.35,2020.2,0.0,1
3,crps,is1,5028.71,4820.43,0.0,1
