,Method,Metric,Train,Test,Threshold,Rep
0,crps,sse,22573.43,14908.04,0.0,0
1,crps,crps,1716.77,1583.1,0.0,0
2,crps,dss,3003.45,2533.88,0.0,0
3,crps,is1,10206.45,9635.06,0.0,0
4,dss,sse,21612.61,15305.4,0.0,0
5,dss,crps,1676.54,1601.88,0.0,0
6,dss,dss,2976.19,2465.58,0.0,0
7,dss,is1,10011.03,9662.58,0.0,0
8,is1,sse,22261.0,15089.25,0.0,0
9,is1,crps,1701.58,1596.8,0.0,0
10,is1,dss,2724.32,2503.74,0.0,0
11,is1,is1,10141.3,9628.93,0.0,0
12,sse,sse,22566.1,14991.36,0.0,0
13,sse,crps,1783.19,1651.96,0.0,0
14,sse,dss,3221.68,2832.72,0.0,0
15,sse,is1,10185.81,9740.68,0.0,0
16,crps,sse,22562.91,14912.64,0.1,0
17,crps,crps,1714.26,1584.74,0.1,0
18,crps,dss,2999.02,2540.12,0.1,0
19,crps,is1,10189.3,9638.54,0.1,0
20,dss,sse,21490.21,15382.39,0.1,0
21,dss,crps,1660.24,1613.13,0.1,0
22,dss,dss,2953.75,2496.5,0.1,0
23,dss,is1,9992.67,9678.76,0.1,0
24,is1,sse,22723.39,15279.24,0.1,0
25,is1,crps,1783.44,1682.37,0.1,0
26,is1,dss,3383.54,2931.55,0.1,0
27,is1,is1,10262.95,9829.44,0.1,0
28,sse,sse,22723.39,15279.24,0.1,0
29,sse,crps,1783.44,1682.37,0.1,0
30,sse,dss,3383.54,2931.55,0.1,0
31,sse,is1,10262.95,9829.44,0.1,0
32,crps,sse,21565.0,16981.23,0.3,0
33,crps,crps,1739.52,1741.67,0.3,0
34,crps,dss,3350.98,2974.91,0.3,0
35,crps,is1,10115.69,10053.44,0.3,0
36,dss,sse,21228.13,16796.9,0.3,0
37,dss,crps,1651.92,1656.28,0.3,0
38,dss,dss,2935.24,2537.71,0.3,0
39,dss,is1,9989.4,9882.45,0.3,0
40,is1,sse,21565.0,16981.23,0.3,0
41,is1,crps,1739.52,1741.67,0.3,0
42,is1,dss,3350.98,2974.91,0.3,0
43,is1,is1,10115.69,10053.44,0.3,0
44,sse,sse,21565.0,16981.23,0.3,0
45,sse,crps,1739.52,1741.67,0.3,0
46,sse,dss,3350.98,2974.91,0.3,0
47,sse,is1,10115.69,10053.44,0.3,0
48,crps,sse,21565.0,16981.23,0.5,0
49,crps,crps,1739.52,1741.67,0.5,0
50,crps,dss,3350.98,2974.91,0.5,0
51,crps,is1,10115.69,10053.44,0.5,0
52,dss,sse,21233.54,16797.01,0.5,0
53,dss,crps,1685.5,1691.09,0.5,0
54,dss,dss,2894.85,2648.67,0.5,0
55,dss,is1,9940.85,9917.12,0.5,0
56,is1,sse,21565.0,16981.23,0.5,0
57,is1,crps,1739.52,1741.67,0.5,0
58,is1,dss,3350.98,2974.91,0.5,0
59,is1,is1,10115.69,10053.44,0.5,0
60,sse,sse,21565.0,16981.23,0.5,0
61,sse,crps,1739.52,1741.67,0.5,0
62,sse,dss,3350.98,2974.91,0.5,0
63,sse,is1,10115.69,10053.44,0.5,0
64,crps,sse,21565.0,16981.23,0.8,0
65,crps,crps,1739.52,1741.67,0.8,0
66,crps,dss,3350.98,2974.91,0.8,0
67,crps,is1,10115.69,10053.44,0.8,0
